Country;Area;Waterbody Type;Date;Ammonia (mg/l);Biochemical Oxygen Demand (mg/l);Dissolved Oxygen (mg/l);Orthophosphate (mg/l);pH (ph units);Temperature (cel);Nitrogen (mg/l);Nitrate (mg/l);CCME_Values;CCME_WQI
Canada;FISW_627;Lake;10/04/2011;0.0097888;213.333;43.708;0.0405;74.472;14.45;0.2167;0.690612;100.0;Excellent
Canada;EELM18;River;08/06/2011;0.01288;1.9;9.824;0.012;8.6;26.4;0.4;0.110675;8.638.746.300.939.830;Good
Canada;FRB2R01009300;River;12/01/2012;0.41216;3.544;107.167;0.0308333;6.84;24.15;0.100667;0.420565;100.0;Excellent
Canada;PLSM_PL01S0302_0273;Lake;10/04/2012;0.157136;213.333;793.333;0.002;69.092;12.0;0.1115;14.365.615;100.0;Excellent
Canada;NL92_KETMWT;Lake;08/06/2012;0.0644;0.55;9.2;0.01425;770.143;24.6;0.4;4.427;100.0;Excellent
Canada;ES310092;River;12/01/1990;11.879.868;819.667;11.684.103.383.014.400;251.237;77.942;158.333;0.950667;0.339403481;47.348.158.731.040.000;Marginal
Canada;LVL1430100;River;12/01/1991;113.256.416;175.325;11.684.103.383.014.400;844.068;78.515;206.333;0.4;0.53456025;41.596.261.591.384.000;Poor
Canada;LVL1430100;River;12/01/1992;177.058.784;231.108;11.684.103.383.014.400;178.648;8.23;195.333;0.4;0.38182875;4.423.195.871.500.140;Poor
Canada;LVL1430100;River;12/01/1993;150.268.384;150.15;7.65;440.834;8.06;18.65;0.4;1.819.497;4.303.130.764.440.600;Poor
Canada;LVL1430100;River;12/01/1994;168.967.568;4.44;8.57;0.25;79.348;205.714;0.437;2.142.668;5.438.541.122.549.770;Marginal
Canada;LVL1430100;River;12/01/1995;46.389.252;4.62;8.42;0.13;7.464;185.429;0.0744633;2.541.098;7.059.347.781.972.320;Fair
Canada;LTR22;River;12/01/1996;0.0267904;4.64;8.0;0.14;75.346;8.0;0.0697618;2.545.525;8.985.046.233.665.670;Good
Canada;LTR22;River;12/01/1997;0.064388279;0.0;11.0;0.0163;77.308;129.909;0.397688;1.974.442;100.0;Excellent
Canada;LTR22;River;12/01/1998;0.07317128;0.0;11.684.103.383.014.400;0.15;76.477;11.5;0.10574;1.819.497;8.930.746.921.663.360;Good
Canada;DESM_BB_NE_0061;River;12/01/1999;0.0653016;3.0;9.8;0.282435;73.823;948.182;0.005472;0.0;8.250.145.119.708.960;Good
Canada;DESM_BB_NE_0061;River;12/01/2000;0.06664112;108.333;9.61;0.250803;70.792;110.333;0.794292;34.517.319;8.400.312.664.613.460;Good
Canada;DESM_BB_NE_0061;River;12/01/2001;0.0326508;0.166667;10.85;0.029833;8.18;106.333;0.916667;23.317.009;100.0;Excellent
Canada;DESM_BB_NE_0061;River;12/01/2002;0.02576;0.583333;10.7;0.032125;77.131;101.333;1.05;0.0;100.0;Excellent
Canada;DESM_BB_SP_0060;River;12/01/2003;0.02737;2.692;9.824;0.030375;8.22;107.273;0.929981;4.409.292;100.0;Excellent
Canada;FRDR06053800;River;12/01/2004;0.1486352;25.462;92.346;0.0915;8.075;105.583;18.625;68.450.274;9.223.790.820.876.180;Good
Canada;CZSM_PM1176;River;12/01/2005;0.3453128;132.453;93.885;0.0123251;8.1;75.875;63.263;1.579.699.691;100.0;Excellent
Canada;FRGR04050000;River;12/01/2006;0.37996;3.79;105.667;0.0312083;7.77;9.52;267.342;11.758.112;100.0;Excellent
Canada;FISW_773;River;02/12/2006;0.27048;3.0;12.9;0.0225;7.79;153.667;0.4;1.652.745.191;100.0;Excellent
Canada;FRGR04088000;River;12/01/2007;0.084640018;2.4;8.8;0.2;7.766;10.5;0.039;3.803.195.857;8.659.700.897.114.690;Good
Canada;BADR_5-10;River;08/06/2007;0.230980904;4.75;100.333;0.0535;779.333;12.0;0.4;16.047.875;9.318.742.829.793.880;Good
Canada;FRGR04086500;River;12/01/2008;0.1;408.333;11.475;0.05;802.083;114.818;0.4;1.851.291.714;100.0;Excellent
Canada;LTR127;River;12/01/2009;0.04293329;213.333;117.333;0.015;7.79;12.0;0.4;1.000.502;100.0;Excellent
Canada;IT05135;River;12/01/2010;0.3775128;3.13;114.333;0.0075;7.79;12.0;0.4;4.059.559;100.0;Excellent
Canada;UKZ1012601;River;12/01/1969;0.2449776;15.112;10.73;0.0895;7.8;12.0;0.4;32.777.508;9.231.774.977.569.730;Good
Canada;FRB2R01004000;River;12/01/1970;31.405.304;52.561;106.167;0.4512;71.723;12.0;0.4;212.956.408;667.320.705.848.834;Fair
Canada;FRDR06002000;River;12/01/1971;0.8892352;37.517;94.456;0.236;73.032;12.0;0.4;135.581.302;7.919.082.186.379.930;Fair
Canada;FR05146000;River;12/01/1972;17.090.472;33.071;9.063;0.2036;83.463;12.0;9.05;20.461.594;773.360.678.327.322;Fair
Canada;FRFR05191000;River;12/01/1973;212.093.672;72.419;89.667;0.8656;63.255;12.0;5.86;157.764.999;4.799.598.581.134.880;Marginal
Canada;FRFR05161000;River;12/01/1974;56.735.112;116.509;5.64;0.281;7.378;12.0;5.65;67.857.056;6.127.192.625.209.180;Marginal
Canada;FR05139350;River;12/01/1975;0.4188576;26.061;101.042;0.0279;75.681;12.0;6.76;177.283.642;100.0;Excellent
Canada;FR05139350;River;12/01/1976;0.0269192;200.054;10.075;0.0033;71.622;12.0;0.0383;363.014;8.839.408.369.649.250;Good
Canada;FRFR05139310;River;12/01/1977;2.620.436;30.057;69.743;0.0;74.578;12.0;6.59;42.609.875;8.345.922.781.213.050;Good
Canada;FRFR05137000;River;12/01/1978;0.23184;1.801;75.656;0.0746;69.693;12.0;0.042;18.805.896;9.282.574.295.278.800;Good
Canada;FRFR05139310;River;12/01/1979;0.5152;4.41;10.66;0.1367;73.064;12.0;7.11;26.986.992;8.450.899.543.606.420;Good
Canada;FR05201057;River;12/01/1980;0.29624;3.17;86.694;0.0792;75.926;12.0;7.41;35.544.383;9.268.710.150.499.610;Good
Canada;FRFR05137000;River;12/01/1981;0.20608;3.68;8.458;0.1133;52.531;12.0;6.51;2.939.528;912.445.271.253.336;Good
Canada;FRFR05139310;River;12/01/1982;0.27048;2.61;10.0;0.12;70.619;12.0;6.96;1.943.453;9.090.679.455.747.010;Good
Canada;FRFR05139310;River;12/01/1983;0.322;2.47;9.5;0.11;67.549;12.0;7.14;1.243.987;9.140.646.532.980.410;Good
Canada;FRFR05137000;River;12/01/1984;0.27048;2.95;9.3;0.1;63.848;12.0;8.13;31.294.463;9.187.448.244.207.810;Good
Canada;FR06043800;River;12/01/1985;0.61824;4.18;9.5;0.913;79.334;12.0;6.85;1.438.775;63.147.490.491.521.700;Marginal
Canada;FRFR05139310;River;12/01/1986;0.27048;2.67;9.6;0.44;67.992;12.0;6.37;42.654.145;7.625.924.357.003.300;Fair
Canada;HU04FF60;River;12/01/1987;0.34776;3.0;4.0;0.08;82.307;12.0;6.19;54.691.158;9.266.119.662.650.430;Good
Canada;HU04FV12;River;12/01/1988;0.20608;2.9;11.8;0.39;8.1;12.0;12.8;836.703;7.803.595.296.678.950;Fair
Canada;HU04FV12;River;12/01/1989;0.63112;1.858;11.5;0.113;8.25;12.0;0.0165;3.399.936;8.491.885.797.462.430;Good
Canada;FRDR06073500;River;12/01/1990;0.1450288;267.826;10.8;0.330208;80.979;15.5;0.0215;2.374.483.428;8.040.086.097.744.750;Good
