ugrhi,macro_land_use,measurement_points,ph,do,bod,tc,tn,tp,ts,turb,temp,wqi,classification
5,industrial,CPIV02200,7.1,4.0,8,96667,4.2,0.5,382,234,26.5,32,bad
5,industrial,CPIV02200,7.3,3.2,6,35000,10.6,0.6,256,29,22.0,37,medium
5,industrial,CPIV02200,7.3,4.1,6,33333,14.6,0.7,260,17,19.5,38,medium
5,industrial,CPIV02200,7.4,2.9,6,7000,16.9,1.0,302,9,22.0,37,medium
5,industrial,CPIV02200,7.5,3.4,7,3500,12.5,0.6,260,22,24.1,43,medium
5,industrial,CPIV02200,7.5,4.1,5,10000,14.4,0.3,244,24,28.0,46,medium
5,industrial,CPIV02200,7.1,4.0,8,96667,4.2,0.5,382,234,26.5,32,bad
5,industrial,CPIV02200,7.3,3.2,6,35000,10.6,0.6,256,29,22.0,37,medium
5,industrial,CPIV02200,7.3,4.1,6,33333,14.6,0.7,260,17,19.5,38,medium
5,industrial,CPIV02200,7.4,2.9,6,7000,16.9,1.0,302,9,22.0,37,medium
5,industrial,CPIV02200,7.5,3.4,7,3500,12.5,0.6,260,22,24.1,43,medium
5,industrial,CPIV02200,7.5,4.1,5,10000,14.4,0.3,244,24,28.0,46,medium
5,industrial,CPIV02200,8.0,4.4,8,21667,8.6,0.4,282,27,26.6,43,medium
5,industrial,CPIV02200,7.2,4.79,7,266667,3.99,0.6,616,494,24.2,30,bad
5,industrial,CPIV02200,7.5,3.3,8,5667,21.61,2.0,318,6,20.4,35,bad
5,industrial,CPIV02200,7.5,4.0,9,8667,14.5,0.9,310,16,21.0,39,medium
5,industrial,CPIV02200,7.7,3.73,9,5167,11.6,0.6,300,21,25.9,42,medium
5,industrial,CPIV02200,7.2,4.34,9,65000,4.2,0.6,326,70,24.9,37,medium
5,industrial,CPIV02200,7.4,2.67,8,35000,10.5,0.8,266,34,26.9,34,bad
5,industrial,CPIV02200,7.4,5.02,2,900,11.85,0.76,300,12,25.6,54,good
5,industrial,CPIV02200,7.3,1.45,19,1333333,14.92,1.0,319,15,18.5,23,bad
5,industrial,CPIV02200,7.7,1.34,10,15000,14.6,1.0,266,8,20.0,30,bad
5,industrial,CPIV02200,7.6,5.1,16,40000,18.6,2.0,388,18,29.3,33,bad
5,industrial,CPIV02200,7.2,3.25,6,25000,8.4,0.8,250,68,25.7,36,bad
5,industrial,CPIV02900,6.6,2.0,5,110000,4.27,0.419,277,96,23.0,29,bad
5,industrial,CPIV02900,6.6,1.6,3,70000,4.37,0.358,358,92,25.0,31,bad
5,industrial,CPIV02900,6.5,5.6,5,280000,1.78,0.396,569,230,23.0,33,bad
5,industrial,CPIV02900,7.0,6.4,13,130000,3.35,0.343,484,93,24.0,35,bad
5,industrial,CPIV02900,7.1,1.3,7,80000,6.02,0.546,259,84,26.0,28,bad
5,industrial,CPIV02900,7.1,3.2,8,30000,2.53,0.48,428,170,25.0,31,bad
5,industrial,CPIV02900,7.2,3.7,11,110000,3.6,0.414,336,120,27.0,29,bad
5,industrial,CPIV02900,6.9,1.4,7,13000,4.92,0.495,284,47,29.0,33,bad
5,industrial,CPIV02900,8.2,2.6,6,11000,4.97,0.56,285,55,25.0,39,medium
5,industrial,CPIV02900,7.2,0.9,7,130000,5.54,0.156,367,77,25.0,29,bad
5,industrial,CPIV02900,7.2,1.8,6,49000,5.05,0.02,398,42,25.0,37,medium
5,industrial,CPIV02900,7.2,2.1,9,22000,6.2,1.0,392,30,26.0,34,bad
5,industrial,CPIV02900,6.8,3.3,13,40000,2.3,0.7,714,571,26.0,47,medium
5,industrial,CPIV02900,7.0,2.7,6,14000,4.1,0.05,341,64,28.0,43,medium
5,industrial,CPIV02900,6.8,3.7,6,46000,3.79,0.9,609,450,26.5,31,bad
5,industrial,CPIV02900,7.1,2.5,7,17000,2.4,2.0,236,34,26.5,36,bad
5,industrial,CPIV02900,7.0,3.4,7,37000,1.7,0.3,363,293,25.0,33,bad
5,industrial,CPIV02900,7.0,3.3,9,4800,7.5,0.5,248,39,26.0,41,medium
5,industrial,CPIV02900,6.9,3.7,11,68333,3.1,0.49,295,166,24.0,31,bad
5,industrial,CPIV02900,7.2,2.4,15,26667,7.5,0.4,200,30,29.0,35,bad
5,industrial,CPIV02900,7.7,5.3,15,141667,20.21,2.0,329,14,31.0,31,bad
5,industrial,CPIV02900,7.1,2.3,16,101667,16.25,0.9,302,14,26.8,28,bad
5,industrial,CPIV02900,7.1,4.0,8,96667,4.2,0.5,382,234,26.5,32,bad
5,industrial,CPIV02900,7.1,4.0,8,96667,4.2,0.5,382,234,26.5,32,bad
5,industrial,CPIV02900,8.0,4.4,8,21667,8.6,0.4,282,27,26.6,43,medium
5,industrial,CPIV02900,7.4,2.67,8,35000,10.5,0.8,266,34,26.9,34,bad
5,industrial,CPIV02900,6.9,0.8,36,900000,7.24,1.16,669,210,23.0,14,very_bad
5,industrial,CPIV02900,7.1,1.8,10,50000,8.63,0.388,274,54,22.0,30,bad
5,industrial,CPIV02900,7.1,3.3,10,500000,3.87,0.455,207,35,25.0,34,bad
5,industrial,CPIV02900,7.2,3.1,4,130000,5.71,0.455,205,35,24.1,35,bad
5,industrial,CPIV02900,6.8,3.0,5,70000,2.56,0.388,388,250,23.0,30,bad
5,industrial,CPIV02900,7.2,1.6,10,500000,3.81,0.481,271,56,25.0,28,bad
5,industrial,CPIV02900,7.0,2.5,11,2300,9.75,0.59,204,4,25.0,41,medium
5,industrial,CPIV02900,7.2,0.0,48,5000000,2.96,1.15,543,120,27.0,12,very_bad
5,industrial,CPIV02900,7.4,1.2,8,80000,7.96,0.785,286,28,28.0,30,bad
5,industrial,CPIV02900,7.7,1.2,7,8000,8.46,0.651,370,16,28.0,34,bad
5,industrial,CPIV02900,7.2,1.7,8,49000,8.38,0.345,318,41,22.5,33,bad
5,industrial,CPIV02900,7.0,3.1,5,7900,5.9,0.8,379,33,23.0,39,medium
5,industrial,CPIV02900,7.3,2.1,8,23000,10.54,1.0,239,27,23.0,35,bad
5,industrial,CPIV02900,6.6,3.2,15,490000,3.1,0.4,688,457,24.0,29,bad
5,industrial,CPIV02900,7.2,3.2,6,17000,15.2,0.6,307,43,24.0,41,medium
5,industrial,CPIV02900,7.0,1.5,10,250000,6.6,0.8,420,279,22.0,24,bad
5,industrial,CPIV02900,7.1,2.9,13,58000,7.3,1.0,204,28,22.0,31,bad
5,industrial,CPIV02900,7.3,2.3,11,68000,8.3,0.5,246,39,24.0,32,bad
5,industrial,CPIV02900,7.1,2.0,6,2833,8.1,0.499,217,29,25.0,40,medium
5,industrial,CPIV02900,7.0,2.0,29,7667,8.6,0.5,234,36,25.0,30,bad
5,industrial,CPIV02900,7.5,0.4,19,716667,22.21,3.0,338,21,22.1,17,very_bad
5,industrial,CPIV02900,7.1,0.4,63,1516667,9.11,1.0,913,55,23.5,15,very_bad
5,industrial,CPIV02900,7.3,3.2,6,35000,10.6,0.6,256,29,22.0,37,medium
5,industrial,CPIV02900,7.3,3.2,6,35000,10.6,0.6,256,29,22.0,37,medium
5,industrial,CPIV02900,7.2,4.79,7,266667,3.99,0.6,616,494,24.2,30,bad
5,industrial,CPIV02900,7.4,5.02,2,900,11.85,0.76,300,12,25.6,54,good
